LOCAL_AIRPORT_CODE,LOCAL_AIRPORT,AIRLINE_CODE,FLIGHT_NUMBER,FREQUENCY,ARRIVAL_DEPARTURE_FLAG,SOURCE_DESTINATION_CODE,SOURCE_DESTINATION,SCHED_TIME,TIME_ZONE,air_time,Economy,Business
AJL,AIZAWAL,AI,711,1234,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1405,IST,135,2600,6520
AJL,AIZAWAL,9W,2769,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1130,IST,136,1240,6520
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,136,1980,6680
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,141,1800,7990
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,164,1730,7380
AJL,AIZAWAL,AI,715,5,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1430,IST,168,1360,5200
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,184,2280,6250
AJL,AIZAWAL,AI,3209,1,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1420,IST,184,1850,6050
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,188,1890,7440
AJL,AIZAWAL,AI,3210,7,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1515,IST,188,1600,5880
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,189,1390,6460
AJL,AIZAWAL,AI,715,5,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1430,IST,200,2990,7810
AJL,AIZAWAL,AI,715,7,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1120,IST,202,3560,8390
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,203,4950,8640
AJL,AIZAWAL,SG,3281,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,203,3660,10130
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1155,IST,204,4070,8650
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,206,4370,9120
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,207,3750,8020
AJL,AIZAWAL,S2,4687,1234567,1,GAU,NETAJI SUBHAS CHANDRA BOSE,1345,IST,213,4560,8300
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1120,IST,217,4660,8260
AJL,AIZAWAL,SG,3282,1234567,1,GAU,NETAJI SUBHAS CHANDRA BOSE,1455,IST,235,3400,8980
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,253,3580,8440
AJL,AIZAWAL,AI,715,7,2,IMF,NETAJI SUBHAS CHANDRA BOSE,1225,IST,267,3380,8610
AJL,AIZAWAL,9W,615,1234567,1,CCU,LOKPRIYA GOPINATH BORDOLOI,1130,IST,268,3250,8290
AJL,AIZAWAL,S2,4687,1234567,1,GAU,LOKPRIYA GOPINATH BORDOLOI,1345,IST,270,4630,10430
AJL,AIZAWAL,9W,2672,1234567,2,CCU,LOKPRIYA GOPINATH BORDOLOI,1330,IST,273,3010,9750
AJL,AIZAWAL,AI,715,7,2,IMF,IMPHAL,1155,IST,281,4680,10480
AJL,AIZAWAL,9W,9808,67,2,CCU,IMPHAL,1210,IST,327,6650,12960
AMD,AHMEDABAD,SG,636,1234567,2,BOM,BENGALURU,525,IST,25,2170,7410
AMD,AHMEDABAD,SG,924,7,1,GOI,BENGALURU,940,IST,27,2930,6730
AMD,AHMEDABAD,6E,162,1234567,1,GOI,BENGALURU,1705,IST,27,1570,7620
AMD,AHMEDABAD,G8,702,1234567,2,JAI,BENGALURU,1710,IST,28,1170,6460
AMD,AHMEDABAD,9W,655,123456,2,DEL,BENGALURU,1455,IST,31,1910,7760
AMD,AHMEDABAD,6E,823,1234567,2,BLR,BENGALURU,850,IST,33,1780,6160
AMD,AHMEDABAD,SG,923,123456,1,JAI,BENGALURU,1415,IST,35,1230,7040
AMD,AHMEDABAD,SG,912,134567,2,DEL,BENGALURU,2055,IST,35,1120,7840
AMD,AHMEDABAD,G8,413,1234567,2,BOM,BENGALURU,2350,IST,36,1790,5490
AMD,AHMEDABAD,6E,514,123456,2,MAA,BENGALURU,1145,IST,36,1740,7950
AMD,AHMEDABAD,G8,459,1234567,2,BOM,BENGALURU,925,IST,37,2950,5030
AMD,AHMEDABAD,SG,923,123456,1,JAI,BENGALURU,1415,IST,40,2190,6330
AMD,AHMEDABAD,SG,928,1234567,2,BLR,BENGALURU,2145,IST,40,1060,5540
AMD,AHMEDABAD,6E,627,7,2,LKO,BENGALURU,940,IST,50,2710,7150
AMD,AHMEDABAD,SG,524,1234567,1,PNQ,BENGALURU,2155,IST,59,1980,5390
AMD,AHMEDABAD,6E,433,1234567,1,BOM,BENGALURU,2215,IST,65,1070,7780
AMD,AHMEDABAD,6E,555,1234567,2,DEL,BENGALURU,1535,IST,66,2540,7760
AMD,AHMEDABAD,6E,948,1234567,1,GOI,BENGALURU,335,IST,67,1160,6740
AMD,AHMEDABAD,6E,135,6,2,CCU,BENGALURU,1610,IST,69,2330,7100
AMD,AHMEDABAD,G8,451,1234567,1,PNQ,BENGALURU,20,IST,74,2440,7190
AMD,AHMEDABAD,6E,6373,123456,1,DEL,BENGALURU,935,IST,75,1970,6770
AMD,AHMEDABAD,UK,966,1234567,2,DEL,BENGALURU,2035,IST,76,2780,6390
AMD,AHMEDABAD,6E,215,1234567,1,BOM,BENGALURU,1750,IST,77,2720,6360
AMD,AHMEDABAD,6E,362,1234567,1,CCU,BENGALURU,130,IST,77,1120,5070
AMD,AHMEDABAD,6E,673,1234567,1,PNQ,BENGALURU,100,IST,77,1170,5200
AMD,AHMEDABAD,6E,253,2,1,BLR,BENGALURU,1755,IST,78,1830,5580
AMD,AHMEDABAD,6E,984,123456,2,BOM,BENGALURU,1025,IST,78,1500,7270
AMD,AHMEDABAD,6E,313,1234567,2,BOM,MUMBAI,1840,IST,78,1820,7810
AMD,AHMEDABAD,G8,459,1234567,2,BOM,MUMBAI,925,IST,79,2110,7940
AMD,AHMEDABAD,6E,962,1234567,2,DEL,MUMBAI,650,IST,79,2640,5750
AMD,AHMEDABAD,9W,2845,26,2,PNQ,MUMBAI,1545,IST,79,1100,7480
AMD,AHMEDABAD,6E,125,1234567,2,CCU,MUMBAI,640,IST,80,1020,7630
AMD,AHMEDABAD,SG,923,7,2,GOI,MUMBAI,600,IST,80,1700,5570
AMD,AHMEDABAD,SG,926,1234567,1,MAA,MUMBAI,40,IST,81,2280,6200
AMD,AHMEDABAD,6E,627,7,1,MAA,MUMBAI,910,IST,81,2150,5550
AMD,AHMEDABAD,G8,532,134567,2,CCU,MUMBAI,605,IST,81,1640,7650
AMD,AHMEDABAD,6E,586,1234567,1,BLR,MUMBAI,700,IST,82,2260,5310
AMD,AHMEDABAD,SG,972,123456,1,VNS,MUMBAI,1200,IST,82,2320,6630
AMD,AHMEDABAD,6E,135,6,2,CCU,MUMBAI,1605,IST,82,2480,7830
AMD,AHMEDABAD,SG,912,2,2,DEL,MUMBAI,1810,IST,82,1340,7760
AMD,AHMEDABAD,6E,237,1234567,1,MAA,MUMBAI,1835,IST,83,1000,5460
AMD,AHMEDABAD,G8,702,2,1,COK,MUMBAI,1640,IST,84,1670,7000
AMD,AHMEDABAD,6E,735,1234567,2,BLR,MUMBAI,2010,IST,84,1930,7860
AMD,AHMEDABAD,UK,946,1234567,2,DEL,MUMBAI,840,IST,84,2620,7550
AMD,AHMEDABAD,SG,912,134567,2,DEL,MUMBAI,2055,IST,84,1050,6400
AMD,AHMEDABAD,6E,728,1234567,2,DEL,MUMBAI,2200,IST,84,1140,5100
AMD,AHMEDABAD,6E,586,1234567,1,BLR,MUMBAI,820,IST,85,2390,5020
AMD,AHMEDABAD,6E,243,1234567,1,BOM,MUMBAI,1915,IST,85,1510,7540
AMD,AHMEDABAD,6E,162,1234567,1,GOI,MUMBAI,1705,IST,85,2330,6840
AMD,AHMEDABAD,6E,237,1234567,1,MAA,MUMBAI,1835,IST,85,1630,5300
AMD,AHMEDABAD,6E,6362,7,1,HYD,MUMBAI,1505,IST,86,2020,6980
AMD,AHMEDABAD,G8,701,123456,1,JAI,MUMBAI,1015,IST,86,2920,6750
AMD,AHMEDABAD,6E,673,1234567,1,PNQ,MUMBAI,100,IST,86,1050,6650
AMD,AHMEDABAD,6E,135,123457,1,PNQ,MUMBAI,1545,IST,86,1900,6820
AMD,AHMEDABAD,6E,3834,1234567,2,BOM,MUMBAI,745,IST,86,2530,6250
AMD,AHMEDABAD,6E,984,123456,2,BOM,MUMBAI,1025,IST,86,1740,5400
AMD,AHMEDABAD,SG,913,1234567,1,DEL,MUMBAI,750,IST,87,2720,6990
AMD,AHMEDABAD,G8,719,1234567,1,DEL,MUMBAI,755,IST,87,1890,7020
AMD,AHMEDABAD,9W,685,1234567,2,DEL,MUMBAI,530,IST,87,1140,7030
AMD,AHMEDABAD,S2,4687,1234567,2,DEL,MUMBAI,715,IST,87,2020,7970
AMD,AHMEDABAD,6E,658,1234567,1,DEL,MUMBAI,2210,IST,94,2050,5680
AMD,AHMEDABAD,6E,627,7,1,MAA,MUMBAI,925,IST,94,2200,7600
AMD,AHMEDABAD,UK,946,1234567,2,DEL,MUMBAI,845,IST,95,2250,6230
AMD,AHMEDABAD,6E,383,1234567,2,HYD,NETAJI SUBHAS CHANDRA BOSE,1555,IST,95,2340,6100
AMD,AHMEDABAD,6E,759,123456,1,BLR,NETAJI SUBHAS CHANDRA BOSE,1205,IST,96,2730,5510
AMD,AHMEDABAD,UK,976,12456,2,DEL,NETAJI SUBHAS CHANDRA BOSE,1030,IST,96,1220,5760
AMD,AHMEDABAD,G8,633,1234567,2,PNQ,NETAJI SUBHAS CHANDRA BOSE,2120,IST,96,2730,6630
AMD,AHMEDABAD,G8,183,1234567,1,DEL,NETAJI SUBHAS CHANDRA BOSE,2250,IST,97,1440,5170
AMD,AHMEDABAD,G8,714,1234567,2,DEL,NETAJI SUBHAS CHANDRA BOSE,2205,IST,97,1250,7760
AMD,AHMEDABAD,6E,202,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1530,IST,98,2700,7730
AMD,AHMEDABAD,UK,979,12456,1,DEL,NETAJI SUBHAS CHANDRA BOSE,955,IST,98,2980,7460
AMD,AHMEDABAD,6E,214,1234567,2,BOM,COCHIN,920,IST,98,3000,7510
AMD,AHMEDABAD,6E,166,1234567,2,DEL,COCHIN,2020,IST,98,2760,6760
AMD,AHMEDABAD,G8,553,123456,2,HYD,COCHIN,1100,IST,98,1580,7880
AMD,AHMEDABAD,6E,135,123457,1,PNQ,INDIRA GANDHI,1545,IST,99,2390,6380
AMD,AHMEDABAD,9W,605,1234567,2,BOM,INDIRA GANDHI,1925,IST,99,1350,7150
AMD,AHMEDABAD,SG,194,1234567,2,DEL,INDIRA GANDHI,630,IST,99,1680,7120
AMD,AHMEDABAD,6E,371,1234567,2,HYD,INDIRA GANDHI,1945,IST,99,1000,6620
AMD,AHMEDABAD,6E,369,2,1,BLR,INDIRA GANDHI,1755,IST,100,2590,5980
AMD,AHMEDABAD,6E,6433,1234567,1,BOM,INDIRA GANDHI,2215,IST,100,2170,7080
AMD,AHMEDABAD,6E,804,1234567,2,BOM,INDIRA GANDHI,1715,IST,100,2720,7600
AMD,AHMEDABAD,6E,3492,1234567,2,DEL,INDIRA GANDHI,830,IST,100,1130,6390
AMD,AHMEDABAD,LB,613,1234567,1,BLR,INDIRA GANDHI,840,IST,101,1400,5940
AMD,AHMEDABAD,SG,193,1234567,1,DEL,INDIRA GANDHI,2015,IST,101,2310,6690
AMD,AHMEDABAD,G8,554,1234567,1,HYD,INDIRA GANDHI,1800,IST,101,1230,7400
AMD,AHMEDABAD,SG,921,123456,2,BLR,INDIRA GANDHI,550,IST,101,1990,6700
AMD,AHMEDABAD,6E,683,1234567,2,DEL,INDIRA GANDHI,515,IST,101,1690,5270
AMD,AHMEDABAD,6E,758,123456,2,HYD,INDIRA GANDHI,1240,IST,101,2500,6690
AMD,AHMEDABAD,G8,713,1234567,1,DEL,INDIRA GANDHI,2135,IST,102,1060,6260
AMD,AHMEDABAD,G8,537,1234567,2,BOM,INDIRA GANDHI,1955,IST,102,1180,6800
AMD,AHMEDABAD,G8,720,1234567,2,DEL,INDIRA GANDHI,825,IST,102,2060,6500
AMD,AHMEDABAD,SG,923,123456,2,GOI,INDIRA GANDHI,1450,IST,102,2750,5980
AMD,AHMEDABAD,6E,6779,1234567,1,BLR,INDIRA GANDHI,445,IST,103,1810,6860
AMD,AHMEDABAD,6E,639,1234567,1,BOM,INDIRA GANDHI,2105,IST,103,1560,7100
AMD,AHMEDABAD,SG,193,1234567,1,DEL,INDIRA GANDHI,2015,IST,103,2810,7930
AMD,AHMEDABAD,6E,995,1234567,1,HYD,INDIRA GANDHI,715,IST,103,1800,6280
AMD,AHMEDABAD,9W,2844,2,1,PNQ,INDIRA GANDHI,1455,IST,103,1460,5180
AMD,AHMEDABAD,G8,802,2,2,BLR,INDIRA GANDHI,900,IST,103,2510,5860
AMD,AHMEDABAD,S2,4687,1234567,2,DEL,INDIRA GANDHI,715,IST,103,2210,6200
AMD,AHMEDABAD,SG,923,123456,2,GOI,INDIRA GANDHI,1450,IST,103,1560,7040
AMD,AHMEDABAD,SG,922,123456,1,BLR,INDIRA GANDHI,1055,IST,104,1850,5120
AMD,AHMEDABAD,AI,769,123456,1,JAI,INDIRA GANDHI,1320,IST,105,2520,7870
AMD,AHMEDABAD,SG,524,1234567,1,PNQ,INDIRA GANDHI,2150,IST,105,1400,5900
AMD,AHMEDABAD,6E,984,7,2,BOM,INDIRA GANDHI,935,IST,105,2150,7830
AMD,AHMEDABAD,G8,368,1234567,2,BOM,INDIRA GANDHI,1955,IST,105,1400,6920
AMD,AHMEDABAD,6E,893,2,2,BLR,INDIRA GANDHI,1825,IST,108,1760,5310
AMD,AHMEDABAD,G8,551,123456,1,HYD,INDIRA GANDHI,1030,IST,109,1280,5870
AMD,AHMEDABAD,6E,313,1234567,2,BOM,INDIRA GANDHI,1830,IST,109,2630,6850
AMD,AHMEDABAD,S2,4330,1234567,2,BOM,INDIRA GANDHI,2135,IST,109,2000,7980
AMD,AHMEDABAD,G8,184,1234567,2,DEL,INDIRA GANDHI,2325,IST,110,2050,6080
AMD,AHMEDABAD,6E,369,134567,1,BLR,INDIRA GANDHI,1635,IST,111,2860,5240
AMD,AHMEDABAD,6E,893,2,2,BLR,INDIRA GANDHI,1825,IST,111,2890,6650
AMD,AHMEDABAD,SG,638,1234567,2,BOM,INDIRA GANDHI,2225,IST,111,1390,6930
AMD,AHMEDABAD,G8,701,13456,2,COK,INDIRA GANDHI,1045,IST,111,2630,6030
AMD,AHMEDABAD,9W,437,1234567,2,BOM,INDIRA GANDHI,1855,IST,112,2100,7030
AMD,AHMEDABAD,SG,637,1234567,1,BOM,INDIRA GANDHI,2350,IST,113,2930,5170
AMD,AHMEDABAD,G8,701,123456,2,COK,DABOLIM,1040,IST,113,2870,5470
AMD,AHMEDABAD,SG,511,1234567,2,HYD,DABOLIM,820,IST,113,1930,7640
AMD,AHMEDABAD,6E,161,123456,1,DEL,DABOLIM,1230,IST,114,2240,5120
AMD,AHMEDABAD,6E,555,1234567,2,DEL,DABOLIM,1535,IST,114,2860,7460
AMD,AHMEDABAD,9W,655,123456,2,DEL,DABOLIM,1550,IST,114,1310,5780
AMD,AHMEDABAD,6E,947,1234567,2,GOI,DABOLIM,2250,IST,114,1480,6650
AMD,AHMEDABAD,6E,452,1234567,1,BLR,DABOLIM,1935,IST,115,1390,6890
AMD,AHMEDABAD,6E,625,1234567,1,DEL,DABOLIM,10,IST,115,1810,5840
AMD,AHMEDABAD,6E,6373,7,1,DEL,RAJIV GANDHI,905,IST,115,2640,5050
AMD,AHMEDABAD,6E,607,1234567,1,DEL,RAJIV GANDHI,2320,IST,115,2740,5420
AMD,AHMEDABAD,SG,241,123456,2,CCU,RAJIV GANDHI,1110,IST,115,2920,7700
AMD,AHMEDABAD,6E,3492,1234567,2,DEL,RAJIV GANDHI,845,IST,115,1490,5890
AMD,AHMEDABAD,6E,607,1234567,1,DEL,RAJIV GANDHI,2310,IST,116,1420,6330
AMD,AHMEDABAD,LB,695,1234567,1,HYD,RAJIV GANDHI,1820,IST,116,2100,7590
AMD,AHMEDABAD,6E,996,1234567,2,BLR,RAJIV GANDHI,2345,IST,116,2230,5360
AMD,AHMEDABAD,6E,237,1234567,2,JAI,RAJIV GANDHI,1905,IST,116,1720,6850
AMD,AHMEDABAD,6E,995,1234567,1,HYD,RAJIV GANDHI,710,IST,117,1570,6050
AMD,AHMEDABAD,G8,451,1234567,1,PNQ,RAJIV GANDHI,25,IST,117,1070,5080
AMD,AHMEDABAD,SG,636,1234567,2,BOM,RAJIV GANDHI,540,IST,118,2740,5650
AMD,AHMEDABAD,9W,315,1234567,2,BOM,RAJIV GANDHI,950,IST,118,1910,7670
AMD,AHMEDABAD,6E,158,1234567,2,DEL,RAJIV GANDHI,610,IST,118,2490,7250
AMD,AHMEDABAD,G8,183,1234567,1,DEL,RAJIV GANDHI,2250,IST,119,2710,6100
AMD,AHMEDABAD,6E,758,2,2,BLR,RAJIV GANDHI,1235,IST,119,1200,5290
AMD,AHMEDABAD,G8,184,1234567,2,DEL,DEVI AHILY BAI HOLKAR,2325,IST,120,1000,6480
AMD,AHMEDABAD,6E,879,1234567,2,HYD,JAIPUR,625,IST,120,2680,5670
AMD,AHMEDABAD,6E,432,1234567,1,DEL,JAIPUR,1505,IST,121,2280,6350
AMD,AHMEDABAD,6E,432,1234567,1,DEL,JAIPUR,1510,IST,121,2190,7940
AMD,AHMEDABAD,6E,153,1234567,1,DEL,JAIPUR,1940,IST,121,1460,6320
AMD,AHMEDABAD,6E,958,1234567,2,BOM,JAIPUR,520,IST,121,1480,7710
AMD,AHMEDABAD,6E,879,1234567,2,HYD,JAIPUR,810,IST,121,2580,5640
AMD,AHMEDABAD,6E,253,134567,1,BLR,JAIPUR,1630,IST,122,2290,5830
AMD,AHMEDABAD,6E,181,123456,1,BOM,CHAUDARY CHARAN SINGH,1330,IST,122,1950,6700
AMD,AHMEDABAD,9W,647,123456,1,DEL,CHAUDARY CHARAN SINGH,1425,IST,122,1690,7270
AMD,AHMEDABAD,6E,153,1234567,1,DEL,CHENNAI,1950,IST,122,2400,5870
AMD,AHMEDABAD,UK,938,123456,2,BOM,CHENNAI,1340,IST,122,2710,7720
AMD,AHMEDABAD,G8,701,2,2,COK,CHENNAI,1045,IST,122,1720,7860
AMD,AHMEDABAD,6E,162,1234567,2,DEL,CHENNAI,1740,IST,122,2620,5270
AMD,AHMEDABAD,G8,552,1234567,2,HYD,CHENNAI,1835,IST,122,2400,6870
AMD,AHMEDABAD,UK,959,1234567,1,DEL,CHENNAI,805,IST,123,1770,5680
AMD,AHMEDABAD,9W,738,1234567,2,BOM,CHENNAI,635,IST,123,2160,7340
AMD,AHMEDABAD,6E,162,1234567,2,DEL,CHENNAI,1740,IST,123,1220,6230
AMD,AHMEDABAD,6E,166,1234567,2,DEL,CHENNAI,2025,IST,123,1380,5640
AMD,AHMEDABAD,SG,922,123456,2,JAI,CHENNAI,1120,IST,123,2070,6220
AMD,AHMEDABAD,SG,922,123456,1,BLR,CHENNAI,1050,IST,124,2910,6930
AMD,AHMEDABAD,LB,614,1234567,2,BLR,PUNE,1840,IST,124,2480,5400
AMD,AHMEDABAD,6E,181,123456,1,BOM,PUNE,1330,IST,125,1310,6800
AMD,AHMEDABAD,G8,412,1234567,1,BOM,PUNE,2325,IST,125,1820,6870
AMD,AHMEDABAD,AI,614,1234567,2,BOM,PUNE,725,IST,125,2570,6710
AMD,AHMEDABAD,SG,912,2,2,DEL,PUNE,1810,IST,125,2920,6520
AMD,AHMEDABAD,G8,702,134567,1,COK,PUNE,1640,IST,126,2170,6000
AMD,AHMEDABAD,UK,959,1234567,1,DEL,PUNE,810,IST,126,2260,6840
AMD,AHMEDABAD,6E,4373,1234567,1,DEL,PUNE,920,IST,126,2960,6680
AMD,AHMEDABAD,G8,717,1234567,1,DEL,PUNE,1550,IST,126,1820,6680
AMD,AHMEDABAD,S2,4690,1234567,1,DEL,PUNE,2100,IST,126,2760,5880
AMD,AHMEDABAD,9W,2823,123456,1,IDR,PUNE,1145,IST,126,1330,6990
AMD,AHMEDABAD,6E,238,1234567,1,JAI,PUNE,925,IST,126,1960,6350
AMD,AHMEDABAD,SG,926,1234567,1,MAA,LAL BAHADUR SHASTRI,15,IST,126,2330,6400
AMD,AHMEDABAD,6E,758,2,2,BLR,BENGALURU,1300,IST,126,1560,6380
AMD,AHMEDABAD,6E,947,1234567,2,GOI,BENGALURU,2305,IST,126,2960,6490
AMD,AHMEDABAD,G8,801,2,1,BLR,BENGALURU,830,IST,127,1320,5410
AMD,AHMEDABAD,6E,297,123456,1,DEL,BENGALURU,1100,IST,127,1450,5840
AMD,AHMEDABAD,SG,988,1234567,2,BLR,BENGALURU,2230,IST,127,1560,7800
AMD,AHMEDABAD,6E,996,1234567,2,BLR,BENGALURU,2350,IST,127,2350,6300
AMD,AHMEDABAD,G8,532,1234567,2,CCU,BENGALURU,610,IST,127,1580,5510
AMD,AHMEDABAD,9W,315,123457,2,BOM,BENGALURU,945,IST,128,2770,5500
AMD,AHMEDABAD,9W,315,6,2,BOM,BENGALURU,1055,IST,128,1660,5400
AMD,AHMEDABAD,G8,537,1234567,1,CCU,BENGALURU,1925,IST,129,2040,7070
AMD,AHMEDABAD,9W,647,2,1,DEL,BENGALURU,1515,IST,129,2220,7270
AMD,AHMEDABAD,G8,713,1234567,1,DEL,BENGALURU,2140,IST,129,2290,6130
AMD,AHMEDABAD,G8,718,1234567,2,DEL,BENGALURU,1620,IST,129,1840,5580
AMD,AHMEDABAD,UK,966,1234567,2,DEL,BENGALURU,2020,IST,129,2840,6250
AMD,AHMEDABAD,SG,921,123456,2,BLR,BENGALURU,600,IST,130,1410,6530
AMD,AHMEDABAD,SG,512,134567,1,HYD,BENGALURU,2025,IST,131,1710,6680
AMD,AHMEDABAD,6E,158,1234567,2,DEL,BENGALURU,620,IST,131,2520,6350
AMD,AHMEDABAD,6E,759,123456,1,BLR,BENGALURU,1205,IST,132,2730,7930
AMD,AHMEDABAD,9W,314,123457,1,BOM,BENGALURU,910,IST,132,2780,6730
AMD,AHMEDABAD,6E,6361,1234567,1,HYD,BENGALURU,1520,IST,132,2140,5680
AMD,AHMEDABAD,9W,411,1234567,2,BOM,BENGALURU,420,IST,132,1430,6350
AMD,AHMEDABAD,G8,532,2,2,CCU,BENGALURU,605,IST,132,2910,7570
AMD,AHMEDABAD,9W,685,1234567,2,DEL,BENGALURU,550,IST,132,2120,7010
AMD,AHMEDABAD,LB,613,1234567,1,BLR,BENGALURU,840,IST,133,1370,5540
