LOCAL_AIRPORT_CODE,LOCAL_AIRPORT,AIRLINE_CODE,FLIGHT_NUMBER,FREQUENCY,ARRIVAL_DEPARTURE_FLAG,SOURCE_DESTINATION_CODE,SOURCE_DESTINATION,SCHED_TIME,TIME_ZONE,air_time,Economy,Business,X,train_number,Train Name,SEQ,Arrival time,departure_time,Distance,Source Station,Source Station Name,Dest Station Code,Dest station_name,DAY,SL,1A,2A,3A
AJL,AIZAWAL,AI,711,6,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1430,IST,101,1530,5100,x,1301,PUNE-MAJN WE,10,5:04:00,5:06:00,611,PUNE,PUNE JN.,THVM,THIVIM,67,130,650,800,940
AJL,AIZAWAL,AI,715,5,1,IMF,NETAJI SUBHAS CHANDRA BOSE,1355,IST,105,2760,6710,x,1301,PUNE-MAJN WE,11,6:20:00,6:30:00,657,PUNE,PUNE JN.,MAO,MADGOAN JN.,67,240,500,790,920
AJL,AIZAWAL,SG,3281,1234567,2,GAU,NETAJI SUBHAS CHANDRA BOSE,1230,IST,106,1110,5650,x,1301,PUNE-MAJN WE,12,7:22:00,7:24:00,715,PUNE,PUNE JN.,KAWR,KAWR,67,160,450,820,970
AJL,AIZAWAL,9W,2672,1234567,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1200,IST,108,2550,5050,x,1301,PUNE-MAJN WE,13,8:08:00,8:10:00,770,PUNE,PUNE JN.,KT,KUMTA,7,290,650,800,980
AJL,AIZAWAL,S2,4690,1234567,2,GAU,NETAJI SUBHAS CHANDRA BOSE,1415,IST,113,2570,7860,x,1301,PUNE-MAJN WE,14,10:00:00,10:02:00,879,PUNE,PUNE JN.,KUDA,KUNDAPURA,1234567,230,320,890,1070
AJL,AIZAWAL,AI,712,6,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1455,IST,115,2690,7400,x,1301,PUNE-MAJN WE,15,10:36:00,10:38:00,911,PUNE,PUNE JN.,UD,UDUPI,1234567,170,320,700,1040
AJL,AIZAWAL,9W,624,1234567,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1200,IST,120,1600,7000,x,1301,PUNE-MAJN WE,16,11:10:00,11:12:00,947,PUNE,PUNE JN.,MULK,MULKI,1234,180,380,820,940
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,122,1420,6600,x,1301,PUNE-MAJN WE,17,12:30:00,12:30:00,976,PUNE,PUNE JN.,MAJN,MANGALORE JN,1234,240,380,660,930
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,122,2110,5440,x,1655,PUNE-JBP SPL,2,12:05:00,12:20:00,77,PUNE,PUNE JN.,DD,DAUND JN.,1,290,330,830,990
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,124,1940,7590,x,1655,PUNE-JBP SPL,3,13:57:00,14:00:00,161,PUNE,PUNE JN.,ANG,AHMADNAGAR,6,100,560,820,1040
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,125,2280,5490,x,1655,PUNE-JBP SPL,4,15:58:00,16:00:00,272,PUNE,PUNE JN.,KPG,KOPARGAON,7,220,630,800,940
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,125,1960,5370,x,1655,PUNE-JBP SPL,5,17:20:00,17:25:00,314,PUNE,PUNE JN.,MMR,MANMAD JN.,1234567,210,540,880,980
AJL,AIZAWAL,AI,3209,7,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1435,IST,125,2440,6350,x,1655,PUNE-JBP SPL,6,20:10:00,20:20:00,498,PUNE,PUNE JN.,BSL,BHUSAVAL JN.,1234567,220,630,901,1080
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,125,1930,7810,x,1655,PUNE-JBP SPL,7,23:40:00,23:45:00,621,PUNE,PUNE JN.,KNW,KHANDWA JN.,1234567,290,440,900,980
AJL,AIZAWAL,AI,712,6,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1505,IST,127,1640,7510,x,1655,PUNE-JBP SPL,8,0:55:00,0:57:00,729,PUNE,PUNE JN.,HD,HARDA,5,270,510,700,980
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,129,2760,7380,x,1655,PUNE-JBP SPL,9,2:15:00,2:30:00,805,PUNE,PUNE JN.,ET,ITARSI,5,300,390,820,1060
AJL,AIZAWAL,9W,9807,67,1,CCU,LOKPRIYA GOPINATH BORDOLOI,1140,IST,130,1360,5800,x,1655,PUNE-JBP SPL,10,3:18:00,3:20:00,872,PUNE,PUNE JN.,PPI,PIPARIYA,67,290,630,830,940
AJL,AIZAWAL,9W,9808,67,2,CCU,LOKPRIYA GOPINATH BORDOLOI,1210,IST,130,2740,7250,x,1655,PUNE-JBP SPL,11,4:38:00,4:40:00,966,PUNE,PUNE JN.,NU,NARSINGHPUR,1234567,180,460,700,990
AJL,AIZAWAL,SG,3282,1234567,2,CCU,LOKPRIYA GOPINATH BORDOLOI,1515,IST,130,1090,7580,x,1655,PUNE-JBP SPL,12,6:07:00,6:09:00,1046,PUNE,PUNE JN.,MML,MADANMAHAL,1234567,320,620,1060,1390
AJL,AIZAWAL,AI,711,6,1,CCU,IMPHAL,1420,IST,131,2510,7700,x,1655,PUNE-JBP SPL,13,6:15:00,6:15:00,1050,PUNE,PUNE JN.,JBP,JABALPUR,67,510,770,990,1420
AJL,AIZAWAL,AI,715,5,1,IMF,IMPHAL,1355,IST,132,2680,7100,x,2821,PUNE-SRC AC,2,13:00:00,13:05:00,120,PUNE,PUNE JN.,PNVL,PANVEL,67,230,540,690,980
AJL,AIZAWAL,AI,3210,1,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1455,IST,133,1510,6730,x,2821,PUNE-SRC AC,3,14:00:00,14:02:00,154,PUNE,PUNE JN.,KYN,KALYAN JN,67,100,450,830,1070
AJL,AIZAWAL,AI,711,1234,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1405,IST,135,2600,6520,x,2821,PUNE-SRC AC,4,19:30:00,19:40:00,545,PUNE,PUNE JN.,BSL,BHUSAVAL JN.,67,200,490,740,1050
AJL,AIZAWAL,9W,2769,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1130,IST,136,1240,6520,x,2821,PUNE-SRC AC,5,1:20:00,1:30:00,943,PUNE,PUNE JN.,NGP,NAGPUR JN.(C,67,290,440,690,1050
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,136,1980,6680,x,2821,PUNE-SRC AC,6,4:51:00,4:53:00,1207,PUNE,PUNE JN.,DURG,DURG,67,390,670,1090,1500
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,141,1800,7990,x,2821,PUNE-SRC AC,7,5:25:00,5:30:00,1244,PUNE,PUNE JN.,R,RAIPUR JN.,67,510,690,1090,1350
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,164,1730,7380,x,2821,PUNE-SRC AC,8,7:20:00,7:30:00,1352,PUNE,PUNE JN.,BSP,BILASPUR JN.,67,480,680,1090,1490
AJL,AIZAWAL,AI,715,5,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1430,IST,168,1360,5200,x,2821,PUNE-SRC AC,9,10:20:00,10:22:00,1558,PUNE,PUNE JN.,JSG,JHARSUGUDA J,67,510,660,1020,1340
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,184,2280,6250,x,2821,PUNE-SRC AC,10,11:35:00,11:50:00,1659,PUNE,PUNE JN.,ROU,ROURKELA,67,360,700,1050,1500
AJL,AIZAWAL,AI,3209,1,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1420,IST,184,1850,6050,x,2821,PUNE-SRC AC,11,13:10:00,13:15:00,1758,PUNE,PUNE JN.,CKP,CHAKARADHARP,1234567,490,700,1140,1410
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,188,1890,7440,x,2821,PUNE-SRC AC,12,14:15:00,14:20:00,1820,PUNE,PUNE JN.,TATA,TATANAGAR JN,5,380,670,1280,1310
AJL,AIZAWAL,AI,3210,7,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1515,IST,188,1600,5880,x,2821,PUNE-SRC AC,13,16:00:00,16:05:00,1958,PUNE,PUNE JN.,KGP,KHARAGPUR,5,360,630,1080,1360
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,189,1390,6460,x,2821,PUNE-SRC AC,14,18:15:00,18:15:00,2066,PUNE,PUNE JN.,SRC,SANTRAGACHI,1234,630,1070,1660,1940
AJL,AIZAWAL,AI,715,5,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1430,IST,200,2990,7810,x,2842,MAS SRC SPL,2,21:40:00,21:42:00,175,MAS,CHENNAI CENTRAL,NLR,NELLORE,6,250,420,710,1050
AJL,AIZAWAL,AI,715,7,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1120,IST,202,3560,8390,x,2842,MAS SRC SPL,3,1:35:00,1:45:00,429,MAS,CHENNAI CENTRAL,BZA,VIJAYWADA JN,1,280,410,880,1050
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,203,4950,8640,x,2842,MAS SRC SPL,4,4:01:00,4:03:00,579,MAS,CHENNAI CENTRAL,RJY,RAJAHMUNDRY,6,140,470,900,970
AJL,AIZAWAL,SG,3281,1234567,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,203,3660,10130,x,2842,MAS SRC SPL,5,7:40:00,7:42:00,762,MAS,CHENNAI CENTRAL,DVD,DUVVADA,1234567,160,550,740,930
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1155,IST,204,4070,8650,x,2842,MAS SRC SPL,6,8:15:00,8:45:00,780,MAS,CHENNAI CENTRAL,VSKP,VISAKHAPATNA,7,150,590,870,990
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1140,IST,206,4370,9120,x,2842,MAS SRC SPL,7,15:05:00,15:15:00,1203,MAS,CHENNAI CENTRAL,KUR,KHURDA ROAD,1234567,550,640,1250,1390
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,207,3750,8020,x,2842,MAS SRC SPL,8,15:45:00,15:50:00,1222,MAS,CHENNAI CENTRAL,BBS,BHUBANESWAR,1234567,540,660,970,1420
AJL,AIZAWAL,S2,4687,1234567,1,GAU,NETAJI SUBHAS CHANDRA BOSE,1345,IST,213,4560,8300,x,2842,MAS SRC SPL,9,16:15:00,16:20:00,1249,MAS,CHENNAI CENTRAL,CTC,CUTTACK JN.,1234567,490,640,1240,1320
AJL,AIZAWAL,9W,9807,67,1,CCU,NETAJI SUBHAS CHANDRA BOSE,1120,IST,217,4660,8260,x,2842,MAS SRC SPL,10,18:38:00,18:40:00,1365,MAS,CHENNAI CENTRAL,BHC,BHADRAKH,7,540,800,940,1300
AJL,AIZAWAL,SG,3282,1234567,1,GAU,NETAJI SUBHAS CHANDRA BOSE,1455,IST,235,3400,8980,x,2842,MAS SRC SPL,11,21:20:00,21:25:00,1548,MAS,CHENNAI CENTRAL,KGP,KHARAGPUR,7,370,640,1050,1340
AJL,AIZAWAL,9W,9808,67,2,CCU,NETAJI SUBHAS CHANDRA BOSE,1210,IST,253,3580,8440,x,2842,MAS SRC SPL,12,23:30:00,23:30:00,1656,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI,1234567,390,800,1020,1300
AJL,AIZAWAL,AI,715,7,2,IMF,NETAJI SUBHAS CHANDRA BOSE,1225,IST,267,3380,8610,x,2845,PUNE HTE SPL,2,12:05:00,12:20:00,77,PUNE,PUNE JN.,DD,DAUND JN.,1234567,180,430,710,980
AJL,AIZAWAL,9W,615,1234567,1,CCU,LOKPRIYA GOPINATH BORDOLOI,1130,IST,268,3250,8290,x,2845,PUNE HTE SPL,3,13:57:00,14:00:00,161,PUNE,PUNE JN.,ANG,AHMADNAGAR,1234567,130,901,820,920
AJL,AIZAWAL,S2,4687,1234567,1,GAU,LOKPRIYA GOPINATH BORDOLOI,1345,IST,270,4630,10430,x,2845,PUNE HTE SPL,4,15:59:00,16:00:00,272,PUNE,PUNE JN.,KPG,KOPARGAON,1234567,200,310,700,1080
AJL,AIZAWAL,9W,2672,1234567,2,CCU,LOKPRIYA GOPINATH BORDOLOI,1330,IST,273,3010,9750,x,2845,PUNE HTE SPL,5,17:20:00,17:25:00,310,PUNE,PUNE JN.,MMR,MANMAD JN.,2,270,550,890,980
AJL,AIZAWAL,AI,715,7,2,IMF,IMPHAL,1155,IST,281,4680,10480,x,2845,PUNE HTE SPL,6,19:40:00,19:50:00,494,PUNE,PUNE JN.,BSL,BHUSAVAL JN.,1234567,300,460,840,1000
AJL,AIZAWAL,9W,9808,67,2,CCU,IMPHAL,1210,IST,327,6650,12960,x,2845,PUNE HTE SPL,7,21:47:00,21:50:00,639,PUNE,PUNE JN.,AK,AKOLA JN.,134567,250,490,790,1040
AMD,AHMEDABAD,SG,636,1234567,2,BOM,BENGALURU,525,IST,25,2170,7410,x,2845,PUNE HTE SPL,8,23:05:00,23:10:00,718,PUNE,PUNE JN.,BD,BADNERA JN.,1234567,300,580,670,940
AMD,AHMEDABAD,SG,924,7,1,GOI,BENGALURU,940,IST,27,2930,6730,x,2845,PUNE HTE SPL,9,0:32:00,0:35:00,813,PUNE,PUNE JN.,WR,WARDHA JN.,1234567,120,570,900,920
AMD,AHMEDABAD,6E,162,1234567,1,GOI,BENGALURU,1705,IST,27,1570,7620,x,2845,PUNE HTE SPL,10,1:55:00,2:05:00,892,PUNE,PUNE JN.,NGP,NAGPUR JN.(C,123456,180,610,730,1000
AMD,AHMEDABAD,G8,702,1234567,2,JAI,BENGALURU,1710,IST,28,1170,6460,x,2845,PUNE HTE SPL,11,4:06:00,4:08:00,1022,PUNE,PUNE JN.,G,GONDIA JN.,123456,450,810,920,1410
AMD,AHMEDABAD,9W,655,123456,2,DEL,BENGALURU,1455,IST,31,1910,7760,x,2845,PUNE HTE SPL,12,6:15:00,6:20:00,1156,PUNE,PUNE JN.,DURG,DURG,123456,590,800,1240,1320
AMD,AHMEDABAD,6E,823,1234567,2,BLR,BENGALURU,850,IST,33,1780,6160,x,2845,PUNE HTE SPL,13,6:55:00,7:05:00,1190,PUNE,PUNE JN.,R,RAIPUR JN.,123456,530,790,910,1380
AMD,AHMEDABAD,SG,923,123456,1,JAI,BENGALURU,1415,IST,35,1230,7040,x,2845,PUNE HTE SPL,14,9:10:00,9:25:00,1302,PUNE,PUNE JN.,BSP,BILASPUR JN.,123456,520,740,1160,1390
AMD,AHMEDABAD,SG,912,134567,2,DEL,BENGALURU,2055,IST,35,1120,7840,x,2845,PUNE HTE SPL,15,13:05:00,13:10:00,1511,PUNE,PUNE JN.,JSG,JHARSUGUDA J,134567,550,740,1120,1490
AMD,AHMEDABAD,G8,413,1234567,2,BOM,BENGALURU,2350,IST,36,1790,5490,x,2845,PUNE HTE SPL,16,14:30:00,14:45:00,1613,PUNE,PUNE JN.,ROU,ROURKELA,134567,390,680,1090,1420
AMD,AHMEDABAD,6E,514,123456,2,MAA,BENGALURU,1145,IST,36,1740,7950,x,2845,PUNE HTE SPL,17,18:20:00,18:20:00,1770,PUNE,PUNE JN.,HTE,HATIA,2,510,720,1130,1490
AMD,AHMEDABAD,G8,459,1234567,2,BOM,BENGALURU,925,IST,37,2950,5030,x,3101,KOAA PURI SP,2,2:20:00,2:25:00,134,KOAA,KOLKATA,KGP,KHARAGPUR,1234567,110,470,730,1030
AMD,AHMEDABAD,SG,923,123456,1,JAI,BENGALURU,1415,IST,40,2190,6330,x,3101,KOAA PURI SP,3,3:48:00,3:50:00,255,KOAA,KOLKATA,BLS,BALASORE,1234567,100,590,880,950
AMD,AHMEDABAD,SG,928,1234567,2,BLR,BENGALURU,2145,IST,40,1060,5540,x,3101,KOAA PURI SP,4,4:48:00,4:50:00,317,KOAA,KOLKATA,BHC,BHADRAKH,1234567,300,590,740,950
AMD,AHMEDABAD,6E,627,7,2,LKO,BENGALURU,940,IST,50,2710,7150,x,3101,KOAA PURI SP,5,7:28:00,7:30:00,361,KOAA,KOLKATA,JJKR,JAJPUR KEONJ,1234567,250,490,710,1050
AMD,AHMEDABAD,SG,524,1234567,1,PNQ,BENGALURU,2155,IST,59,1980,5390,x,3101,KOAA PURI SP,6,8:50:00,8:55:00,433,KOAA,KOLKATA,CTC,CUTTACK JN.,1234567,250,410,650,990
AMD,AHMEDABAD,6E,433,1234567,1,BOM,BENGALURU,2215,IST,65,1070,7780,x,3101,KOAA PURI SP,7,10:10:00,10:15:00,460,KOAA,KOLKATA,BBS,BHUBANESWAR,1234567,140,310,830,1050
AMD,AHMEDABAD,6E,555,1234567,2,DEL,BENGALURU,1535,IST,66,2540,7760,x,3101,KOAA PURI SP,8,10:45:00,10:50:00,479,KOAA,KOLKATA,KUR,KHURDA ROAD,1234567,180,400,870,1090
AMD,AHMEDABAD,6E,948,1234567,1,GOI,BENGALURU,335,IST,67,1160,6740,x,3101,KOAA PURI SP,9,11:50:00,11:50:00,523,KOAA,KOLKATA,PURI,PURI,1234567,180,590,820,960
AMD,AHMEDABAD,6E,135,6,2,CCU,BENGALURU,1610,IST,69,2330,7100,x,4409,DLI-SVDK SPL,2,0:50:00,1:00:00,197,DLI,DELHI JN.,UMB,AMBALA CANTT,1234567,200,320,780,1090
AMD,AHMEDABAD,G8,451,1234567,1,PNQ,BENGALURU,20,IST,74,2440,7190,x,4409,DLI-SVDK SPL,3,3:30:00,3:40:00,310,DLI,DELHI JN.,LDH,LUDHIANA JN.,1234567,210,510,710,930
AMD,AHMEDABAD,6E,6373,123456,1,DEL,BENGALURU,935,IST,75,1970,6770,x,4409,DLI-SVDK SPL,4,6:30:00,6:35:00,475,DLI,DELHI JN.,PTKC,PATHANKOT CA,1234567,100,380,700,1060
AMD,AHMEDABAD,UK,966,1234567,2,DEL,BENGALURU,2035,IST,76,2780,6390,x,4409,DLI-SVDK SPL,5,9:30:00,9:45:00,575,DLI,DELHI JN.,JAT,JAMMU TAWI,1234567,180,420,740,1050
AMD,AHMEDABAD,6E,215,1234567,1,BOM,BENGALURU,1750,IST,77,2720,6360,x,4409,DLI-SVDK SPL,6,10:45:00,10:55:00,628,DLI,DELHI JN.,UHP,UDHAMPUR,1234567,130,650,900,950
AMD,AHMEDABAD,6E,362,1234567,1,CCU,BENGALURU,130,IST,77,1120,5070,x,4409,DLI-SVDK SPL,7,11:30:00,11:30:00,653,DLI,DELHI JN.,SVDK,SHRI MATA VA,1234567,130,570,820,1060
AMD,AHMEDABAD,6E,673,1234567,1,PNQ,BENGALURU,100,IST,77,1170,5200,x,5631,GHY - SCL PA,2,20:18:00,20:20:00,91,GHY,GUWAHATI,CPK,CHAPARMUKH J,123457,240,310,770,940
AMD,AHMEDABAD,6E,253,2,1,BLR,BENGALURU,1755,IST,78,1830,5580,x,5631,GHY - SCL PA,3,20:58:00,21:00:00,136,GHY,GUWAHATI,HJI,HOJAI,1234567,120,510,810,1080
AMD,AHMEDABAD,6E,984,123456,2,BOM,BENGALURU,1025,IST,78,1500,7270,x,5631,GHY - SCL PA,4,22:15:00,22:45:00,181,GHY,GUWAHATI,LMG,LUMDING JN.,6,240,640,810,990
AMD,AHMEDABAD,6E,313,1234567,2,BOM,MUMBAI,1840,IST,78,1820,7810,x,5631,GHY - SCL PA,5,1:00:00,1:05:00,245,GHY,GUWAHATI,MBG,MAIBANG,123456,260,460,810,900
AMD,AHMEDABAD,G8,459,1234567,2,BOM,MUMBAI,925,IST,79,2110,7940,x,5631,GHY - SCL PA,6,1:38:00,1:40:00,270,GHY,GUWAHATI,MXR,MAHUR,123456,270,600,790,980
AMD,AHMEDABAD,6E,962,1234567,2,DEL,MUMBAI,650,IST,79,2640,5750,x,5631,GHY - SCL PA,7,1:55:00,2:00:00,279,GHY,GUWAHATI,NHLG,NEW HALFLONG,123456,130,550,800,1020
AMD,AHMEDABAD,9W,2845,26,2,PNQ,MUMBAI,1545,IST,79,1100,7480,x,5631,GHY - SCL PA,8,4:15:00,4:45:00,351,GHY,GUWAHATI,BPB,BADARPUR JN.,1234567,290,500,870,980
AMD,AHMEDABAD,6E,125,1234567,2,CCU,MUMBAI,640,IST,80,1020,7630,x,5631,GHY - SCL PA,9,5:02:00,5:04:00,360,GHY,GUWAHATI,KTX,KATAKHAL JN.,1234567,230,350,900,1060
AMD,AHMEDABAD,SG,923,7,2,GOI,MUMBAI,600,IST,80,1700,5570,x,5631,GHY - SCL PA,10,5:55:00,5:55:00,380,GHY,GUWAHATI,SCL,SILCHAR,1234567,160,320,900,950
AMD,AHMEDABAD,SG,926,1234567,1,MAA,MUMBAI,40,IST,81,2280,6200,x,6001,MS-TEN SPECI,2,22:18:00,22:20:00,24,MS,CHENNAI EGMORE,TBM,TAMBARAM,1234567,130,370,860,1080
AMD,AHMEDABAD,6E,627,7,1,MAA,MUMBAI,910,IST,81,2150,5550,x,6001,MS-TEN SPECI,3,22:48:00,22:50:00,55,MS,CHENNAI EGMORE,CGL,CHENGALPATTU,1234567,280,450,690,960
AMD,AHMEDABAD,G8,532,134567,2,CCU,MUMBAI,605,IST,81,1640,7650,x,6001,MS-TEN SPECI,4,0:25:00,0:30:00,158,MS,CHENNAI EGMORE,VM,VILLUPURAM J,1234567,270,360,680,1060
AMD,AHMEDABAD,6E,586,1234567,1,BLR,MUMBAI,700,IST,82,2260,5310,x,6001,MS-TEN SPECI,5,1:20:00,1:22:00,212,MS,CHENNAI EGMORE,VRI,VRIDHA CHALA,1234567,150,440,800,1000
AMD,AHMEDABAD,SG,972,123456,1,VNS,MUMBAI,1200,IST,82,2320,6630,x,6001,MS-TEN SPECI,6,4:00:00,4:10:00,335,MS,CHENNAI EGMORE,TPJ,TIRUCHIRAPPA,1234567,250,470,680,1040
AMD,AHMEDABAD,6E,135,6,2,CCU,MUMBAI,1605,IST,82,2480,7830,x,6001,MS-TEN SPECI,7,5:15:00,5:17:00,429,MS,CHENNAI EGMORE,DG,DINDIGUL JN,1234567,260,640,740,1070
AMD,AHMEDABAD,SG,912,2,2,DEL,MUMBAI,1810,IST,82,1340,7760,x,6001,MS-TEN SPECI,8,5:33:00,5:35:00,451,MS,CHENNAI EGMORE,KQN,KODAIKKANAL,1234567,260,580,790,1000
AMD,AHMEDABAD,6E,237,1234567,1,MAA,MUMBAI,1835,IST,83,1000,5460,x,6001,MS-TEN SPECI,9,6:30:00,6:35:00,492,MS,CHENNAI EGMORE,MDU,MADURAI JN,1234567,220,350,860,1040
AMD,AHMEDABAD,G8,702,2,1,COK,MUMBAI,1640,IST,84,1670,7000,x,6001,MS-TEN SPECI,10,7:20:00,7:22:00,535,MS,CHENNAI EGMORE,VPT,VIRUDUNAGAR,1234567,220,480,720,1050
AMD,AHMEDABAD,6E,735,1234567,2,BLR,MUMBAI,2010,IST,84,1930,7860,x,6001,MS-TEN SPECI,11,7:40:00,7:42:00,562,MS,CHENNAI EGMORE,SRT,SATUR,1234567,240,380,740,1000
AMD,AHMEDABAD,UK,946,1234567,2,DEL,MUMBAI,840,IST,84,2620,7550,x,6001,MS-TEN SPECI,12,7:58:00,8:00:00,584,MS,CHENNAI EGMORE,CVP,KOVILPATTI,1234567,260,370,800,1060
